ID,Name,Usage,Assigned Buildings,Total Population,Estimated No. Of Buildings,,
1,Jabal Ali Third,Residential,C1-C2,1513,151,,
2,Nadd Shamma,Residential,C1-C2,3124,312,,
3,Al Muteena,Commercial,C4-C5-C6,46185,272,,
4,Bu Kadra,Residential,C1-C2,16,2,,
5,EnKhali,Commercial,C4-C5-C6,26,0,,
6,Warsan third,Residential,C1-C2,13579,1358,,
7,Ras Al Khor Ind. First,Residential,C1-C2,2550,255,,
8,Grayteesah,Commercial,C4-C5-C6,55,0,,
9,Hor Al Anz East,Commercial,C4-C5-C6,21218,125,,
10,Um Al Sheif,Residential,C1-C2,4367,437,,
11,Muhaisneh 2nd,Commercial,C4-C5-C6,196316,1158,,
12,Al yalayis 3,Commercial,C4-C5-C6,4,0,,
13,Warsan first,Commercial,C4-C5-C6,106072,625,,
14,Margham,Residential,C1-C2,1005,101,,
15,Saih Shuaib 3,Industrial,Steel Warehouses,11144,0,,
16,Al Qusais First,Commercial,C4-C5-C6,45657,269,,
17,Al Meryal,Residential,C1-C2,754,75,,
18,Remah,Commercial,C4-C5-C6,232,1,,
19,Al Kifaf,Commercial,C4-C5-C6,2,0,,
20,Saih Al Salam,Industrial,Steel Warehouses,607,0,,
21,Ayal Nasir,Commercial,C4-C5-C6,19280,114,,
22,Oud Al Muteena Third,Commercial,C4-C5-C6,6679,39,,
23,Al Warqaa Second,Residential,C1-C2,10689,1069,,
24,Al Rega,Commercial,C4-C5-C6,10480,62,,
25,Umm Eselay,Commercial,C4-C5-C6,204,1,,
26,Al Satwa,Commercial,C4-C5-C6,38991,230,,
27,Al Hathmah,Commercial,C4-C5-C6,35,0,,
28,Al Murar,Commercial,C4-C5-C6,38970,230,,
29,Al Murqabat,Commercial,C4-C5-C6,69771,411,,
30,Al Qusais IND. First,Industrial,Steel Warehouses,9369,0,,
31,Al Barsha First,Commercial,C4-C5-C6,39451,233,,
32,Port Saeed,Commercial,C4-C5-C6,13551,80,,
33,Naif,Commercial,C4-C5-C6,50090,295,,
34,Al Rowaiyah first,Residential,C1-C2,3127,313,,
35,Al Suq Al Kabeer,Commercial,C4-C5-C6,51012,301,,
36,Muhaisneh 5th,Industrial,Steel Warehouses,2,0,,
37,Al Mezhar First,Residential,C1-C2,16552,1655,,
38,Al Hamriya Port,Industrial,Steel Warehouses,36738,0,,
39,Al Yufrah 2,Residential,C1-C2,58,6,,
40,Nad Al Shibba Third,Commercial,C4-C5-C6,767,5,,
41,Wadi AlShabak,Industrial,Steel Warehouses,55,0,,
42,Al Qouze IND. Third,Industrial,Steel Warehouses,26656,0,,
43,Lehbab First,Residential,C1-C2,3197,320,,
44,Wadi Al Safa 5,Residential,C1-C2,21241,2124,,
45,Al Shandaga,Residential,C1-C2,2,0,,
46,Al Hamriya,Commercial,C4-C5-C6,36738,217,,
47,Oud al Muteena First,Commercial,C4-C5-C6,14672,87,,
48,Al Saffa First,Residential,C1-C2,8514,851,,
49,Saih Al Dahal,Industrial,Steel Warehouses,16,0,,
50,Al Layan 2,Commercial,C4-C5-C6,0,0,,
51,Al Buteen,Commercial,C4-C5-C6,2841,17,,
52,Nadd Hessa,Industrial,Steel Warehouses,38494,0,,
53,Al Barsha Second,Residential,C1-C2,15523,1552,,
54,Jabal Ali IND. First,Industrial,Steel Warehouses,128975,0,,
55,Al Raffa,Commercial,C4-C5-C6,47140,278,,
56,Al Qusais IND. Fifth,Industrial,Steel Warehouses,1613,0,,
57,Mereiyeel,Commercial,C4-C5-C6,1119,7,,
58,Al Hebiah Third,Residential,C1-C2,6845,685,,
59,Um Hurair First,Residential,C1-C2,5856,586,,
60,Mirdif,Residential,C1-C2,64355,6436,,
61,Al Safouh Second ,Commercial,C4-C5-C6,6126,36,,
62,Marsa Dubai,Commercial,C4-C5-C6,61047,360,,
63,Al Qouze IND. Second,Industrial,Steel Warehouses,159978,0,,
64,Al wasl,Residential,C1-C2,11555,1156,,
65,Al Karama,Commercial,C4-C5-C6,75066,443,,
66,Al Safouh First,Commercial,C4-C5-C6,4435,26,,
67,Wadi Al Safa 3,Residential,C1-C2,9764,976,,
68,Al Layan 1,Commercial,C4-C5-C6,10,0,,
69,Burj Khalifa,Commercial,C4-C5-C6,20477,121,,
70,Al Corniche,Residential,C1-C2,1735,174,,
71,Mugatrah,Commercial,C4-C5-C6,804,5,,
72,Al Thanyeh Third,Residential,C1-C2,21442,2144,,
73,Zaa'beel second,Residential,C1-C2,8102,810,,
74,Corniche Deira,Commercial,C4-C5-C6,14,0,,
75,Nakhlat Jumeira,Residential,C1-C2,24448,2445,,
76,Wadi Al Safa 6,Residential,C1-C2,18213,1821,,
77,Um Suqeim Second,Residential,C1-C2,12325,1233,,
78,Nakhlat Deira,Commercial,C4-C5-C6,2,0,,
79,Al Selal,Commercial,C4-C5-C6,665,4,,
80,Al Khairan Second,Industrial,Steel Warehouses,2,0,,
81,Al yufrah 1,Commercial,C4-C5-C6,403,2,,
82,Al Bada',Commercial,C4-C5-C6,56734,335,,
83,Umm Nahad First,Commercial,C4-C5-C6,8,0,,
84,Mushraif,Residential,C1-C2,67,7,,
85,Um Ramool,Residential,C1-C2,2935,294,,
86,Saih Shuaib 1 ,Commercial,C4-C5-C6,9,0,,
87,Al Hebiah fifth,Residential,C1-C2,9748,975,,
88,Al Aweer First,Residential,C1-C2,4107,411,,
89,Al Rowaiyah second,Commercial,C4-C5-C6,25,0,,
90,Al Qusais IND. Second,Industrial,Steel Warehouses,8834,0,,
91,Um Suqaim Third,Residential,C1-C2,7520,752,,
92,Al Khawaneej Second,Residential,C1-C2,4523,452,,
93,Al Qusais Second,Commercial,C4-C5-C6,12473,74,,
94,Al Hebiah fourth,Residential,C1-C2,20611,2061,,
95,Al Qusais Third,Commercial,C4-C5-C6,7162,42,,
96,Al Ttay,Industrial,Steel Warehouses,810,0,,
97,Ras Al Khor Ind. Second,Industrial,Steel Warehouses,2514,0,,
98,Saih Shuaib 2,Residential,C1-C2,14491,1449,,
99,Al Qouz Third,Commercial,C4-C5-C6,40553,239,,
100,Hor Al Anz ,Commercial,C4-C5-C6,83187,490,,
101,Umm Nahad Second,Commercial,C4-C5-C6,2,0,,
102,Al Qusais IND. Fourth,Industrial,Steel Warehouses,2709,0,,
103,Trade Center First,Commercial,C4-C5-C6,16519,97,,
104,Ras Al Khor IND. Third,Industrial,Steel Warehouses,21834,0,,
105,Al Yalayis 2,Residential,C1-C2,1364,136,,
106,Yaraah,Commercial,C4-C5-C6,94,1,,
107,Al Lesaily,Residential,C1-C2,2856,286,,
108,Al Nahda Second,Residential,C1-C2,61936,6194,,
109,Al Hudaiba,Residential,C1-C2,14191,1419,,
110,Al Aweer Second,Residential,C1-C2,5236,524,,
111,Al Twar Third,Residential,C1-C2,10655,1066,,
112,Al Garhoud,Residential,C1-C2,18535,1854,,
113,Al Hebiah Second,Commercial,C4-C5-C6,1523,9,,
114,Mankhool ,Commercial,C4-C5-C6,40091,236,,
115,Wadi Alamradi,Residential,C1-C2,3368,337,,
116,Al Khbeesi,Residential,C1-C2,1992,199,,
117,Al Barsha South Fourth,Residential,C1-C2,13717,1372,,
118,Oud Metha,Commercial,C4-C5-C6,14901,88,,
119,Jumaira Third,Residential,C1-C2,13417,1342,,
120,Riggat Al Buteen,Commercial,C4-C5-C6,7120,42,,
121,Hadaeq Sheikh Mohammed Bin Rahisd,Residential,C1-C2,1563,156,,
122,Zaa'beel first,Residential,C1-C2,3260,326,,
123,Al Thanyah First,Residential,C1-C2,24834,2483,,
124,Al Qusais IND. Third,Industrial,Steel Warehouses,2710,0,,
125,Al Nahda First,Residential,C1-C2,31449,3145,,
126,Al Barsha South Fifth,Residential,C1-C2,7384,738,,
127,Jabal Ali First,Commercial,C4-C5-C6,75287,444,,
128,Al Mezhar Second,Residential,C1-C2,11317,1132,,
129,Al Barsha South Third,Residential,C1-C2,6929,693,,
130,Le Hemaira,Industrial,Steel Warehouses,53,0,,
131,Muhaisanah Third,Residential,C1-C2,6493,649,,
132,Warsan Second,Residential,C1-C2,1568,157,,
133,Al Maha,Commercial,C4-C5-C6,193,1,,
134,Al Warqaa Third,Residential,C1-C2,10689,1069,,
135,Margab,Residential,C1-C2,628,63,,
136,Al Manara,Residential,C1-C2,8271,827,,
137,Umm Al Daman,Residential,C1-C2,283,28,,
138,Al O'Shoosh,Unidentified,Land,0,0,,
139,Abu Hail,Commercial,C4-C5-C6,17240,102,,
140,Nad Al Shibba Second,Residential,C1-C2,2389,239,,
141,Al Qouz Fourth,Residential,C1-C2,22718,2272,,
142,Al Wajeha Bahriah,Commercial,C4-C5-C6,4,0,,
143,Hefair,Unidentified,Land,0,0,,
144,Al Sabkha,Residential,C1-C2,3969,397,,
145,Dubai International Airport,Commercial,C4-C5-C6,22,0,,
146,Al Qouze IND Fourth,Industrial,Steel Warehouses,38079,0,,
147,Al Baraha,Commercial,C4-C5-C6,24747,146,,
148,Al Wohoosh,Commercial,C4-C5-C6,46,0,,
149,Me'Aisem Second,Residential,C1-C2,12,1,,
150,Nazwah,Residential,C1-C2,544,54,,
151,AL Mamzar,Residential,C1-C2,14938,1494,,
152,AL Hebiah First,Residential,C1-C2,10598,1060,,
153,Wadi Al Safa 4,Commercial,C4-C5-C6,2,0,,
154,Al Khairan First,Commercial,C4-C5-C6,587,3,,
155,Hatta,Residential,C1-C2,14045,1405,,
156,Al Marmoom,Residential,C1-C2,94,9,,
157,Al warqaa fourth,Residential,C1-C2,13452,1345,,
158,Mena Jabal Ali,Commercial,C4-C5-C6,24487,144,,
159,Jabal Ali IND third,Industrial,Steel Warehouses,2462,0,,
160,Al Ayas,Residential,C1-C2,1757,176,,
161,Al Twar Second,Residential,C1-C2,4835,484,,
162,Madinat Dubai Al Melahiyeh,Commercial,C4-C5-C6,15172,89,,
163,Al Jadaf,Commercial,C4-C5-C6,5104,30,,
164,Wadi Al Safa 7,Residential,C1-C2,8473,847,,
165,Warsan Fourth,Residential,C1-C2,8994,899,,
166,Wadi Al Safa 2,Residential,C1-C2,10519,1052,,
167,Dubai Investment Park First,Commercial,C4-C5-C6,69956,412,,
168,Al Thanyah Fourth,Commercial,C4-C5-C6,27728,163,,
169,Al Yalayis 5,Commercial,C4-C5-C6,100,1,,
170,Nakhlat Jabal Ali,Commercial,C4-C5-C6,5,0,,
171,Me'aisem First,Residential,C1-C2,18002,1800,,
172,Al Waheda,Commercial,C4-C5-C6,20785,123,,
173,Jumeira Island Second,Residential,C1-C2,3,0,,
174,Umm Al Mo'meneen,Commercial,C4-C5-C6,309,2,,
175,Muhaisna First,Residential,C1-C2,8091,809,,
176,Madinat al Matar,Commercial,C4-C5-C6,2697,16,,
177,Nad Al Shiba First,Residential,C1-C2,5948,595,,
178,Hessyan First,Residential,C1-C2,3492,349,,
179,Al Rass,Commercial,C4-C5-C6,7460,44,,
180,Al Qouz Second,Residential,C1-C2,5240,524,,
181,Trade Center Second,Commercial,C4-C5-C6,12218,72,,
182,Al Warqaa fifth,Commercial,C4-C5-C6,60,0,,
183,Al Fagaa',Residential,C1-C2,417,42,,
184,Umm Nahad Third,Residential,C1-C2,1347,135,,
185,Dubai Investment Park Second,Commercial,C4-C5-C6,60630,357,,
186,Al Dhagaya ,Commercial,C4-C5-C6,15899,94,,
187,Jumeira Second,Residential,C1-C2,10079,1008,,
188,Al Saffa Second,Residential,C1-C2,6679,668,,
189,Al Thanyah Second,Residential,C1-C2,115,12,,
190,Al Twar First,Residential,C1-C2,11509,1151,,
191,Al Yalayis 1,Residential,C1-C2,1114,111,,
192,Al Merkadh,Residential,C1-C2,1317,132,,
193,Al Kheeran,Residential,C1-C2,4982,498,,
194,Al Warqaa first,Residential,C1-C2,24679,2468,,
195,Jabal Ali Second,Residential,C1-C2,1570,157,,
196,Al Qouze IND. First,Industrial,Steel Warehouses,26075,0,,
197,Al Jafliya,Residential,C1-C2,23963,2396,,
198,Ghadeer Barashy,Commercial,C4-C5-C6,7,0,,
199,Al Barsha Third,Residential,C1-C2,14601,1460,,
200,Al Thanyah fifth,Residential,C1-C2,40586,4059,,
201,Saih Shuaib 4,Residential,C1-C2,11170,1117,,
202,Umm Suqeim First,Residential,C1-C2,11718,1172,,
203,Al Khawaneej First,Residential,C1-C2,12893,1289,,
204,Saih Shua'alah,Commercial,C4-C5-C6,3,0,,
205,Nad Al Hamar,Commercial,C4-C5-C6,14216,84,,
206,Al Rowaiyah third,Residential,C1-C2,4429,443,,
207,Al Barsha South Second,Residential,C1-C2,7509,751,,
208,Al Barsha South First,Residential,C1-C2,13717,1372,,
209,Muhaisanah Fourth,Residential,C1-C2,34947,3495,,
210,Um Hurair second,Residential,C1-C2,5328,533,,
211,Oud al Muteena second,Residential,C1-C2,5506,551,,
212,Hessyan Second,Residential,C1-C2,45,5,,
213,Umm Nahad Fourth,Industrial,Steel Warehouses,4,0,,
214,Jumeira First,Residential,C1-C2,20356,2036,,
215,Lehbab Second,Residential,C1-C2,1511,151,,
216,Ras Al Khor,Residential,C1-C2,2,0,,
217,Al yalayis 4,Industrial,Steel Warehouses,8,0,,
218,Nad Al Shibba Fourth,Residential,C1-C2,3685,369,,
219,Al Rashidiya,Commercial,C4-C5-C6,37167,219,,
220,Al Qouz first,Commercial,C4-C5-C6,20154,119,,
221,Jabal Ali IND. Second,Industrial,Steel Warehouses,23000,0,,
